namespace,class,func,docstring,taint_summary,memory_summary
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,basic_string() : basic_string(Allocator()) {},"C++11 起的默认构造函数。构造拥有默认构造的分配器的空字符串。
 如果 Allocator 不可默认构造 (DefaultConstructible) ，那么行为未定义。",{},"{
   <0>.strlen = 0
   <0>.size = <0>.strlen + 1
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"basic_string() noexcept(noexcept(Allocator()))
    : basic_string(Allocator()) {}","C++11 起的默认构造函数。构造拥有默认构造的分配器的空字符串。
 如果 Allocator 不可默认构造 (DefaultConstructible) ，那么行为未定义。",{},"{
   <0>.strlen = 0
   <0>.size = <0>.strlen + 1
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,explicit basic_string( const Allocator& alloc = Allocator() );," C++11 前的默认构造函数。构造拥有给定分配器 alloc 的空字符串。

 参数
alloc	-	用于此字符串所有内存分配的分配器",{},"{
   <0>.strlen = 0
   <0>.size = <0>.strlen + 1
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,explicit basic_string( const Allocator& alloc );," C++11 前的默认构造函数。构造拥有给定分配器 alloc 的空字符串。

 参数
alloc	-	用于此字符串所有内存分配的分配器",{},"{
   <0>.strlen = 0
   <0>.size = <0>.strlen + 1
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"basic_string( size_type count, CharT ch,
              const Allocator& alloc = Allocator() );","构造拥有 count 个字符 ch 的副本的字符串。
如果 CharT 不可复制插入 (CopyInsertable) 到 std::basic_string<CharT> 中，那么行为未定义。

(C++11 起)
此重载只有在 Allocator 满足分配器 (Allocator) 时才会参与重载决议。

 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值","{
   setSink(<1>)
   transitive(<0>, <2>)
}","{
  <0>.strlen = <1>
  <0>.size = <0>.strlen + 1
  <0>.field = <2>
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"template< class InputIt >
basic_string( InputIt first, InputIt last,
              const Allocator& alloc = Allocator() );","以范围 [first, last) 的内容构造字符串。[first, last) 中的每个迭代器都只会解引用一次。
如果 InputIt 不满足老式输入迭代器 (LegacyInputIterator) ，那么就会改为以实参 static_cast<size_type>(first)、last 和 alloc 调用重载 (3)。

(C++11 前)
此重载只有在 InputIt 满足老式输入迭代器 (LegacyInputIterator) 时才会参与重载决议。

如果 CharT 从 *first 不可就位构造 (EmplaceConstructible) 到 std::basic_string<CharT> 中，那么行为未定义。

(C++11 起)


 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围","{
  transitive(<0>, <1> || <2>)
}","{
  <0>.strlen = [0, MAX]
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"template< container-compatible-range<CharT> R >
constexpr basic_string( std::from_range_t, R&& rg,
                        const Allocator& = Allocator());"," 以范围 rg 的内容构造字符串。rg 中的每个迭代器都只会解引用一次。
 如果 CharT 从 *ranges::begin(rg) 不可就位构造 (EmplaceConstructible) 到 std::basic_string<CharT> 中，那么行为未定义。


 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围","{
  transitive(<0>, <1>)
}","{
  <0>.strlen = [0, MAX]
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"basic_string( const CharT* s, size_type count,
              const Allocator& alloc = Allocator() );"," 以范围 [s, s + count) 的内容构造字符串。
 如果 [s, s + count) 不是有效范围，那么行为未定义。


 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针","{
  setSink(<2>)
  transitive(<0>, <1>)
}","{
  overflow(<2>, [0, <1>.size])
  <0>.strlen = <2>
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"basic_string( const CharT* s, const Allocator& alloc = Allocator() );"," 等价于 basic_string(s, Traits::length(s), alloc)。
此重载只有在 Allocator 满足分配器 (Allocator) 时才会参与重载决议。
(C++17 起)


 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针","{
  transitive(<0>, <1>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"template< class StringViewLike >
explicit basic_string( const StringViewLike& t,
                       const Allocator& alloc = Allocator() );"," 如同用 std::basic_string_view<CharT, Traits> sv = t; 将 t 隐式转换到字符串视图 sv ，然后如同以 basic_string(sv.data(), sv.size(), alloc) 构造字符串。
 此重载只有在 std::is_convertible_v<const StringViewLike&,
                      std::basic_string_view<CharT, Traits>> 是 true 且 std::is_convertible_v<const StringViewLike&, const CharT*> 是 false 时才会参与重载决议。


 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针
t	-	初始化字符串所用的对象（可转换到 std::basic_string_view）","{
  transitive(<0>, <1>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"template< class StringViewLike >
basic_string( const StringViewLike& t,
              size_type pos, size_type count,
              const Allocator& alloc = Allocator() );"," 如同用 std::basic_string_view<CharT, Traits> sv = t; 将 t 隐式转换到字符串视图 sv ，然后如同以 basic_string(sv.substr(pos, count), alloc) 构造字符串。
 此重载只有在 std::is_convertible_v<const StringViewLike&,
                      std::basic_string_view<CharT, Traits>> 是 true 时才会参与重载决议。


 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针
t	-	初始化字符串所用的对象（可转换到 std::basic_string_view）
pos	-	要包含的首字符位置","{
  setSink(<2>)
  setSink(<3>)
  transitive(<0>, <1>)
}","{
  overflow(<2>, [0, <1>.strlen - 1])
  <0>.strlen = <3>
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,basic_string( const basic_string& other );,"以 other 的（部分）内容构造字符串。如果 other 的类型是 basic_string&&，那么在构造完成时，other 会处于某个未指定的有效状态。
复制构造函数
如同通过调用 std::allocator_traits<Allocator>::
    select_on_container_copy_construction
        (other.get_allocator()) 获得分配器。


 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针
t	-	初始化字符串所用的对象（可转换到 std::basic_string_view）
pos	-	要包含的首字符位置
other	-	用作源初始化字符串的另一字符串","{
  transitive(<0>, <1>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,basic_string( basic_string&& other ) noexcept;,"以 other 的（部分）内容构造字符串。如果 other 的类型是 basic_string&&，那么在构造完成时，other 会处于某个未指定的有效状态。
移动构造函数。如同通过从 other.get_allocator() 移动构造获得分配器。


 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针
t	-	初始化字符串所用的对象（可转换到 std::basic_string_view）
pos	-	要包含的首字符位置
other	-	用作源初始化字符串的另一字符串","{
  transitive(<0>, <1>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"basic_string( const basic_string& other, const Allocator& alloc );","以 other 的（部分）内容构造字符串。如果 other 的类型是 basic_string&&，那么在构造完成时，other 会处于某个未指定的有效状态。
 与构造函数相同，但是会将 alloc 用作分配器。
 如果 CharT 不可复制插入 (CopyInsertable) 到 std::basic_string<CharT> 中，那么行为未定义。


 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针
t	-	初始化字符串所用的对象（可转换到 std::basic_string_view）
pos	-	要包含的首字符位置
other	-	用作源初始化字符串的另一字符串","{
  transitive(<0>, <1>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"basic_string( basic_string&& other, const Allocator& alloc );","以 other 的（部分）内容构造字符串。如果 other 的类型是 basic_string&&，那么在构造完成时，other 会处于某个未指定的有效状态。
与移动函数相同，但是会将 alloc 用作分配器。
 如果 CharT 不可移动插入 (MoveInsertable) 到 std::basic_string<CharT> 中，那么行为未定义。


 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针
t	-	初始化字符串所用的对象（可转换到 std::basic_string_view）
pos	-	要包含的首字符位置
other	-	用作源初始化字符串的另一字符串","{
  transitive(<0>, <1>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"basic_string( const basic_string& other, size_type pos,
              const Allocator& alloc = Allocator() );","以 other 的（部分）内容构造字符串。如果 other 的类型是 basic_string&&，那么在构造完成时，other 会处于某个未指定的有效状态。
与移动函数相同，但是会将 alloc 用作分配器。
  以范围 [other.data() + pos, other.data() + other.size()) 的内容构造字符串。

 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针
t	-	初始化字符串所用的对象（可转换到 std::basic_string_view）
pos	-	要包含的首字符位置
other	-	用作源初始化字符串的另一字符串","{
  setSink(<2>)
  transitive(<0>, <1>)
}","{
  overflow(<2>, [0, <1>.strlen - 1])
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"constexpr basic_string( basic_string&& other, size_type pos,
                        const Allocator& alloc = Allocator() );","以 other 的（部分）内容构造字符串。如果 other 的类型是 basic_string&&，那么在构造完成时，other 会处于某个未指定的有效状态。
与移动函数相同，但是会将 alloc 用作分配器。
  以范围 [other.data() + pos, other.data() + other.size()) 的内容构造字符串。

 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针
t	-	初始化字符串所用的对象（可转换到 std::basic_string_view）
pos	-	要包含的首字符位置
other	-	用作源初始化字符串的另一字符串","{
  setSink(<2>)
  transitive(<0>, <1>)
}","{
  overflow(<2>, [0, <1>.strlen - 1])
  <0>.strlen = <1>.strlen - <2>
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"basic_string( const basic_string& other,
              size_type pos, size_type count,
              const Allocator& alloc = Allocator() );","以 other 的（部分）内容构造字符串。如果 other 的类型是 basic_string&&，那么在构造完成时，other 会处于某个未指定的有效状态。
与移动函数相同，但是会将 alloc 用作分配器。
以范围 [other.data() + pos, other.data() + (pos + std::min(count, other.size() - pos))) 的内容构造字符串。

 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针
t	-	初始化字符串所用的对象（可转换到 std::basic_string_view）
pos	-	要包含的首字符位置
other	-	用作源初始化字符串的另一字符串","{
  setSink(<2>)
  setSink(<3>)
  transitive(<0>, <1>)
}","{
  overflow(<2>, [0, <1>.strlen - 1])
  <0>.strlen = <3> || <1>.strlen - <2>
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"constexpr basic_string( basic_string&& other,
                        size_type pos, size_type count,
                        const Allocator& alloc = Allocator() );","以 other 的（部分）内容构造字符串。如果 other 的类型是 basic_string&&，那么在构造完成时，other 会处于某个未指定的有效状态。
与移动函数相同，但是会将 alloc 用作分配器。
以范围 [other.data() + pos, other.data() + (pos + std::min(count, other.size() - pos))) 的内容构造字符串。

 参数
alloc	-	用于此字符串所有内存分配的分配器
count	-	产生的字符串大小
ch	-	初始化字符串所用的值
first, last	-	复制字符的来源范围
rg	-	与容器兼容的范围
s	-	指向用作源初始化字符串的字符数组的指针
t	-	初始化字符串所用的对象（可转换到 std::basic_string_view）
pos	-	要包含的首字符位置
other	-	用作源初始化字符串的另一字符串","{
  setSink(<2>)
  setSink(<3>)
  transitive(<0>, <1>)
}","{
  overflow(<2>, [0, <1>.strlen - 1])
  <0>.strlen = <3> || <1>.strlen - <2>
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::basic_string",basic_string,"basic_string( std::initializer_list<CharT> ilist,
              const Allocator& alloc = Allocator() );"," 等价于 basic_string(ilist.begin(), ilist.end())。

 参数
alloc	-	用于此字符串所有内存分配的分配器
ilist	-	初始化字符串所用的 std::initializer_list","{
  transitive(<0>, <1>)
}","{
  <0>.strlen = <1>.size
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
}"
"std::basic_string<CharT,Traits,Allocator>::~basic_string",basic_string,~basic_string();,析构 basic_string。调用各元素的析构函数并解分配所用的存储。,"{
  sanitize(<0>)
}","{
  <0> = NULL
}"
"std::basic_string<CharT,Traits,Allocator>::operator=",basic_string,basic_string& operator=( const basic_string& str );,"以 str 的副本替换字符串的内容。如果 *this 和 str 为同一对象，那么此函数无效果。

 参数
str	-	用作源初始化字符串的字符串","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::operator=",basic_string,"basic_string& operator=( basic_string&& str )
    noexcept(/* 见下文 */);"," 用序列容器 (SequenceContainer) 的移动赋值语义以 str 的内容替换字符串的内容。
 与其他顺序容器移动赋值不同，指向 str 的元素的引用、指针和迭代器可能会失效。

 参数
str	-	用作源初始化字符串的字符串","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::operator=",basic_string,basic_string& operator=( const CharT* s );,"如同用 assign(s, Traits::length(s)) 以 s 所指向的空终止字符串的内容替换字符串的内容。

 参数
s	-	指向空终止字符串的指针，用作源初始化字符串","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::operator=",basic_string,basic_string& operator=( CharT ch );,"如同用 assign(std::addressof(ch), 1) 以字符 ch 的内容替换字符串的内容。

 参数
ch	-	初始化字符串所用的值","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = 1
  <0>.size = <0>.strlen + 1
  <0>.field = <1>
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::operator=",basic_string,basic_string& operator=( std::initializer_list<CharT> ilist );,"如同用 assign(ilist.begin(), ilist.size()) 以初始化式列表 ilist 的内容替换字符串的内容。

 参数
init	-	用作源初始化字符串的 std::initializer_list","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>.size
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::operator=",basic_string,"template<class StringViewLike>
basic_string& operator=( const StringViewLike& t );"," 如同用 std::basic_string_view<CharT, Traits> sv = t; 将 t 隐式转换到字符串视图 sv ，然后如同用 assign(sv)，以 sv 的内容替换内容。
 此重载只有在 std::is_convertible_v<const StringViewLike&,
                      std::basic_string_view<CharT, Traits>> 是 true 且 std::is_convertible_v<const StringViewLike&, const CharT*> 是 false 时才会参与重载决议。

 参数
t	-	可转换为用以初始化字符串的 std::basic_string_view 的对象","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,basic_string& assign( const basic_string& str );,"等价于 return *this = str;。

 参数
str	-	用作源以初始化字符的字符串      返回值
*this","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
